"Wuhan has been in complete quarantine for over 8 weeks. 

People here are still going about their daily lives as normal. 

This is pure fantasy. https://t.co/AUZbGNRDjM",1240727808005079041,,Thu Mar 19 19:52:15 +0000 2020,,Jamie,3200,1,12,
Pretty much any corona virus germ that wants to or has entered my body these passed hours are all being bodied by these shots of henny https://t.co/HLsSEnRksu,1240727808495812608,,Thu Mar 19 19:52:15 +0000 2020,PG County,Zaddy,478,0,10,
"RT @RealSaavedra: Good.

It came from China.",1240727808617230336,,Thu Mar 19 19:52:15 +0000 2020,"Sydney, New South Wales",WWP,395,102,0,
RT @nicolebyer: Everyone in this looks sick,1240727808629813248,,Thu Mar 19 19:52:15 +0000 2020,ferrets,Remington,695,48505,0,
"RT @jabinbotsford: Close up of President @realDonaldTrump notes is seen where he crossed out ""Corona"" and replaced it with ""Chinese"" Virus…",1240727808705466370,,Thu Mar 19 19:52:15 +0000 2020,,Proud Crusader,19,30495,0,
RT @Biancaixvi: Corona day 3: it just feels like Sunday again and...again,1240727808726482944,,Thu Mar 19 19:52:15 +0000 2020,"Huntley, IL",alexa felix,392,85306,0,
RT @FernandoAmandi: China’s irresponsible and criminal behavior in the wake of COVID-19 will leave it in its weakest global position in mem…,1240727808869097472,,Thu Mar 19 19:52:15 +0000 2020,Venezuela,Belkis Olmos,1040,1630,0,
RT @MarleeMatlin: Pls RT. Dear @WhiteHouse news &amp; press conferences around the country during this Corona Virus Emergency have  sign langua…,1240727809477054464,,Thu Mar 19 19:52:16 +0000 2020,"Willows, CA",Tara Lee Bautista,144,1511,0,
"RT @ioproducer: There was a nasty flu that went round in December / early Jan. I’m telling you, that was corona. Bare ppl were sick (includ…",1240727809515040768,,Thu Mar 19 19:52:16 +0000 2020,,abi w,156,46045,0,
RT @Biancaixvi: Corona day 3: it just feels like Sunday again and...again,1240727809556914176,,Thu Mar 19 19:52:16 +0000 2020,"Ciudad Obregón, Sonora, México",m,229,85306,0,
RT @RealbosstalkDt: Lets start a resource thread for loans and grants for small businesses affected by corona. We'll start: (PLEASE SHARE)…,1240727809581973504,,Thu Mar 19 19:52:16 +0000 2020,"Moonlit Valley, New York",Nigma✴️,246,44,0,
RT @olcayerdd: #PTTEmekcileriRiskAltinda the corona is very dangerous so don't come to the post office,1240727809670164486,,Thu Mar 19 19:52:16 +0000 2020,"İzmir, Türkiye",turan kayık,152,5,0,"{'text': 'PTTEmekcileriRiskAltinda', 'indices': [15, 40]}"
"RT @jbarro: Among other things, what this shows is they're using the term ""the coronavirus"" internally like everyone else and are throwing…",1240727810441953286,,Thu Mar 19 19:52:16 +0000 2020,PA,The Vanishing Tweets,3323,6245,0,
"@citizentvkenya But are these measures enough? I don't think so. 120 bed capacity,not good. How about the whole facility be set aside for corona virus?",1240727810475470848,,Thu Mar 19 19:52:16 +0000 2020,,Neithan the Patriot,40,0,0,
"RT @bowcoupmerci: @DanRather Yes! And where the hell are these? Jack Ma donated 500,000 testing kits and 1 million masks.  #WhereAreTheMask…",1240727810525839362,,Thu Mar 19 19:52:16 +0000 2020,,bayoulady,2866,9,0,
"RT @TattooedFemdom: My dick is Bigger than Corona virus
My dick is Bigger than Corona virus
My dick is Bigger than Corona virus
My dick is…",1240727810567737345,,Thu Mar 19 19:52:16 +0000 2020,,👑Royalty Promos 51k #EFDP👑,48736,10,0,
"RT @MiekeEoyang: They're trying to spur a culture war to distract from their own incompetence. 

So you don't notice them:

firing professi…",1240727810605551617,,Thu Mar 19 19:52:16 +0000 2020,"Wisconsin, USA",Howard Waddell 🇺🇸,4064,265,0,
RT @isoquince: Me at my funeral when I hear Messi dropped a 6.2 rating on SofaScore https://t.co/1g7HDdmiRL https://t.co/yGFo6iWTIY,1240727810982936577,,Thu Mar 19 19:52:16 +0000 2020,NCC-1701,Hyperbolic Chamber Hanma 1.5,900,78,0,
RT @nicolebyer: Everyone in this looks sick,1240727811012395008,,Thu Mar 19 19:52:16 +0000 2020,"Bethesda, MD",jujuziv,307,48505,0,
"RT @MrJonCryer: There you have it.

Proof that this is an intentional tactic. Trump et al are trying to bait us into fighting over his raci…",1240727811259805699,,Thu Mar 19 19:52:16 +0000 2020,"Louisville, Kentucky ",MAH50S,838,1546,0,
"RT @CarolineCBaxter: *Non-Corona content*: The Patriot missile, its overuse, and the Middle East.  Give yourself a break from pandemic cove…",1240727811301806081,,Thu Mar 19 19:52:16 +0000 2020,ERADICATE ALL BITCOIN NOW USA,General Bonhomme Richard CEO♥️🇺🇸 =👎🇷🇺,21,4,0,
RT @Stout97_: 2 weeks? it’s a fucking global pandemic not a hamstring strain.,1240727811377131521,,Thu Mar 19 19:52:16 +0000 2020,,Ashley,501,33349,0,
"RT @CandiceBenbow: This is Generation Z. 

I want to name that because folks love calling everybody 40 and under Millennials.

Millennials…",1240727811536465920,,Thu Mar 19 19:52:16 +0000 2020,"California, USA",Patti,91,98411,0,
"RT @Vijayabaskarofl: #Corona: I cldn’t wind up the day, without visiting #RGGH to check d health progress of Covid19 Pts . Am glad to see t…",1240727811796721671,,Thu Mar 19 19:52:16 +0000 2020,"Chennai, India",Thala60Valimai,5000,456,0,"{'text': 'Corona', 'indices': [21, 28]}"
"RT @everywhereist: If he wasn't so vain as to eschew wearing the glasses he OBVIOUSLY needs, the font wouldn't be so big, and we wouldn't h…",1240727811884748800,,Thu Mar 19 19:52:16 +0000 2020,"Michigan, USA",David Essential Sorenson,373,46,0,
RT @charlesornstein: Holy shit. This is not fake news.,1240727812149063681,,Thu Mar 19 19:52:16 +0000 2020,"DC, Or sitting on the metro",Whitney Zatzkin,4440,7,0,
RT @LiILevi: The only man who can save us from corona virus https://t.co/Qoc1QhVYm5,1240727812610437120,,Thu Mar 19 19:52:16 +0000 2020,"Bordeaux, France",nesyou10 (ユネス),418,6571,0,
